,dataset,scaling,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
134,6,True,combined_CCA,2,2,0.425804228498388,-0.309057177716306,0.442375898361206,-1
135,6,True,greedy_CCA,3,3,0.547611615921492,0.046354066213923,0.147419691085815,-1
136,6,True,greedy_CCA,3,3,0.540798221301157,0.038096642888824,0.167316436767578,-1
137,6,True,greedy_CCA,3,3,0.499374789100499,0.193600045290099,0.171021938323975,-1
138,6,True,greedy_CCA,3,3,0.473522500772874,0.400854600933275,0.146500825881958,-1
139,6,True,greedy_CCA,3,3,0.560732005192766,-0.23699714995096,0.148645162582397,-1
140,6,True,CCA_without,3,3,0.535266423438736,0.114626601635417,1000.13488817215,-1
141,6,True,CCA_without,3,3,0.530081326189571,0.041729772015122,1000.08712387085,-1
142,6,True,CCA_without,3,3,0.542748098210074,-0.100009967096722,1000.08163189888,-1
143,6,True,CCA_without,3,3,0.475384335289306,0.358262497469111,1000.33147621155,-1
144,6,True,CCA_without,3,3,0.523061659411277,-0.087200643060336,1000.11503458023,-1
145,6,True,CCA_with,3,3,0.548105756162307,0.20154250317845,100.438650846481,5
146,6,True,CCA_with,3,3,0.54222293002041,0.054378170511966,100.415386915207,5
147,6,True,CCA_with,3,3,0.548285837609156,-0.095599147820045,100.289283275604,3
148,6,True,CCA_with,3,3,0.523261245684912,0.301904033934761,100.605122566223,7
149,6,True,CCA_with,3,3,0.573454799461037,-0.067516290920138,100.281513214111,3
150,6,True,multistart_CCA,3,3,0.550454359488786,0.073942372120787,76.0098552703857,-1
151,6,True,multistart_CCA,3,3,0.542218533946922,0.054083214659602,74.4808342456818,-1
152,6,True,multistart_CCA,3,3,0.548412834682722,0.124404506926523,52.4689524173737,-1
153,6,True,multistart_CCA,3,3,0.524296449324871,0.252967217428491,76.1388161182404,-1
154,6,True,multistart_CCA,3,3,0.573509531597615,-0.057800244558578,81.7142210006714,-1
155,6,True,benders_CCA_without,3,3,0.538594500362006,0.315563348243735,1017.80890464783,209
156,6,True,benders_CCA_without,3,3,0.502808202469751,0.207458671247153,1026.83186864853,265
157,6,True,benders_CCA_without,3,3,0.467555363007738,0.131339317831647,1018.97263526917,102
158,6,True,benders_CCA_without,3,3,0.463074149169323,0.422057111339951,1000.47698378563,141
159,6,True,benders_CCA_without,3,3,0.43034732337479,-0.312479790713535,1019.60654115677,76
160,6,True,benders_CCA_with,3,3,0.550247641502638,0.077995177710545,1073.73836016655,70
161,6,True,benders_CCA_with,3,3,0.536370570705018,0.06424287494599,1010.48697590828,177
162,6,True,benders_CCA_with,3,3,0.548253022536069,-0.096466467531086,1005.68411254883,235
163,6,True,benders_CCA_with,3,3,0.513721686371086,0.415359413833985,1055.0628619194,102
164,6,True,benders_CCA_with,3,3,0.573483085191326,-0.057725093929399,1019.37257766724,128
165,6,True,kernelsearch_CCA_without,3,3,0.546182653250159,-0.346547105833537,212.815967798233,-1
166,6,True,kernelsearch_CCA_without,3,3,0.507658948996395,0.201907564924158,615.047820091248,-1
167,6,True,kernelsearch_CCA_without,3,3,0.548293842744422,-0.094588243056225,246.671049594879,-1
168,6,True,kernelsearch_CCA_without,3,3,0.524422641529716,0.256334542841939,40.3530271053314,-1
169,6,True,kernelsearch_CCA_without,3,3,0.511101221571664,0.33002266100889,354.22691822052,-1
170,6,True,kernelsearch_CCA_with,3,3,0.546182653250159,-0.346547105833537,210.304310083389,-1
171,6,True,kernelsearch_CCA_with,3,3,0.507651490548704,0.201369606688038,661.930431842804,-1
172,6,True,kernelsearch_CCA_with,3,3,0.548293842744422,-0.094588243056225,246.831284046173,-1
173,6,True,kernelsearch_CCA_with,3,3,0.524422641529716,0.256334542841939,39.7917234897614,-1
174,6,True,kernelsearch_CCA_with,3,3,0.511101221571664,0.33002266100889,355.223768949509,-1
175,6,True,combined_CCA,3,3,0.546394196961007,0.210487237984424,0.589992523193359,-1
176,6,True,combined_CCA,3,3,0.460360887300709,0.112297117191191,0.712836742401123,-1
177,6,True,combined_CCA,3,3,0.54121652219988,-0.111524738516163,0.562462568283081,-1
178,6,True,combined_CCA,3,3,0.506103054809016,0.298606704065149,0.52607274055481,-1
179,6,True,combined_CCA,3,3,0.509522533188697,-0.2645323674657,0.990301847457886,-1
180,7,False,greedy_CCA,2,2,0.55194211431701,0.317428112820291,0.077460050582886,-1
181,7,False,greedy_CCA,2,2,0.365476921642956,0.586011880510135,0.077127695083618,-1
182,7,False,greedy_CCA,2,2,0.487418430112315,0.487175539418003,0.078288078308105,-1
183,7,False,greedy_CCA,2,2,0.462784732789658,0.42848075368348,0.074974060058594,-1
184,7,False,greedy_CCA,2,2,0.557644935316259,0.171870846713325,0.074347019195557,-1
185,7,False,CCA_without,2,2,0.730056644537969,0.504536439444437,1000.0844335556,-1
186,7,False,CCA_without,2,2,0.743288203009445,0.580689944775518,1000.23663163185,-1
187,7,False,CCA_without,2,2,0.704146349334824,0.678494859798485,1000.14795684814,-1
188,7,False,CCA_without,2,2,0.690012292013946,0.706644307160968,1000.0960047245,-1
189,7,False,CCA_without,2,2,0.691818563663172,0.696175959861615,1000.11015939713,-1
190,7,False,CCA_with,2,2,0.73207766886307,0.541994633547365,100.207380533218,3
191,7,False,CCA_with,2,2,0.752951045550272,0.58703896137411,100.35011267662,5
192,7,False,CCA_with,2,2,0.724849866206696,0.650347246849317,100.31933760643,5
193,7,False,CCA_with,2,2,0.690478775578622,0.698821455843165,100.38775396347,5
194,7,False,CCA_with,2,2,0.695956688378552,0.700081335198083,100.238572120667,3
195,7,False,multistart_CCA,2,2,0.732117794930241,0.544506184802663,22.607950925827,-1
196,7,False,multistart_CCA,2,2,0.752975152486654,0.587522400578239,28.330322265625,-1
197,7,False,multistart_CCA,2,2,0.724859569529136,0.650022846714234,28.3754091262817,-1
198,7,False,multistart_CCA,2,2,0.690488807288264,0.697838131970662,19.6364011764526,-1
199,7,False,multistart_CCA,2,2,0.696314267075822,0.67057014792595,28.6859679222107,-1
200,7,False,benders_CCA_without,2,2,0.73208434951543,0.543051901511716,1002.39673876762,1379
201,7,False,benders_CCA_without,2,2,0.752962053049305,0.586785823168515,1095.97946953774,840
202,7,False,benders_CCA_without,2,2,0.724869156831299,0.651102298207992,1068.73392939568,958
203,7,False,benders_CCA_without,2,2,0.690489956645156,0.698536865221794,1001.31372833252,1349
204,7,False,benders_CCA_without,2,2,0.692181787756916,0.713161382912486,1012.03716063499,1045
205,7,False,benders_CCA_with,2,2,0.73208434951543,0.543051901511716,1011.86869573593,1206
206,7,False,benders_CCA_with,2,2,0.752948894613508,0.587087297124757,1000.91247224808,972
207,7,False,benders_CCA_with,2,2,0.724869156831299,0.651102298207992,1011.6129527092,1010
208,7,False,benders_CCA_with,2,2,0.690489956645156,0.698536865221794,1017.59074997902,1199
209,7,False,benders_CCA_with,2,2,0.696321944909139,0.671285220344368,1001.07881212235,806
210,7,False,kernelsearch_CCA_without,2,2,0.731973820736815,0.551120186292516,545.657690048218,-1
211,7,False,kernelsearch_CCA_without,2,2,0.736330031764871,0.063717355470521,348.893260240555,-1
212,7,False,kernelsearch_CCA_without,2,2,0.709179023651401,0.661753791587572,506.789124488831,-1
213,7,False,kernelsearch_CCA_without,2,2,0.681667730097226,0.699744329335976,310.745906591415,-1
214,7,False,kernelsearch_CCA_without,2,2,0.67028322629375,0.433158427881925,495.468232393265,-1
215,7,False,kernelsearch_CCA_with,2,2,0.731973820736815,0.551120186292516,545.039259433746,-1
216,7,False,kernelsearch_CCA_with,2,2,0.736330031764871,0.063717355470521,345.997852563858,-1
217,7,False,kernelsearch_CCA_with,2,2,0.709179023651401,0.661753791587572,503.114259958267,-1
218,7,False,kernelsearch_CCA_with,2,2,0.681667730097226,0.699744329335976,312.871205568314,-1
219,7,False,kernelsearch_CCA_with,2,2,0.67028322629375,0.433158427881925,491.844146251678,-1
220,7,False,combined_CCA,2,2,0.729245696114749,0.587636652547825,16.0368077754974,-1
221,7,False,combined_CCA,2,2,0.74111171170561,0.610131462920678,7.30987930297852,-1
222,7,False,combined_CCA,2,2,0.676318644508138,0.637730576534913,6.39510846138001,-1
223,7,False,combined_CCA,2,2,0.681502263835305,0.659208252961614,6.00902009010315,-1
224,7,False,combined_CCA,2,2,0.695980267127418,0.703195640646905,7.30981063842773,-1
225,7,False,greedy_CCA,3,3,0.603262542348917,0.443346285586387,0.15903902053833,-1
226,7,False,greedy_CCA,3,3,0.466424747884272,0.480756730860822,0.143868923187256,-1
227,7,False,greedy_CCA,3,3,0.36061094724178,0.302606506218549,0.162760496139526,-1
228,7,False,greedy_CCA,3,3,0.597296732610254,0.233872229510559,0.162152051925659,-1
229,7,False,greedy_CCA,3,3,0.561924861395687,0.095662593640982,0.161644697189331,-1
230,7,False,CCA_without,3,3,0.726046159131089,0.447847840487806,1000.24214220047,-1
231,7,False,CCA_without,3,3,0.708701399465935,0.540598746377057,1000.14095044136,-1
232,7,False,CCA_without,3,3,0.675933033005011,0.605534112133981,1000.10706663132,-1
233,7,False,CCA_without,3,3,0.688595142022946,0.745656330205785,1000.25982546806,-1
234,7,False,CCA_without,3,3,0.711548471679193,0.702424374450744,1000.12804913521,-1
235,7,False,CCA_with,3,3,0.749545332822508,0.607218533787826,100.463900089264,5
236,7,False,CCA_with,3,3,0.76761599742428,0.522103250130686,100.446215629578,5
237,7,False,CCA_with,3,3,0.753557273786702,0.66636508851179,100.532433509827,5
238,7,False,CCA_with,3,3,0.757218743466795,0.568952132597635,100.487780570984,5
239,7,False,CCA_with,3,3,0.718092286501387,0.538028064272459,100.239927053452,3
240,7,False,multistart_CCA,3,3,0.749545186204605,0.606945158954785,104.917144298553,-1
241,7,False,multistart_CCA,3,3,0.798434214867866,0.539116039423725,106.309966564178,-1
242,7,False,multistart_CCA,3,3,0.764388748641989,0.664773067253128,106.161009788513,-1
243,7,False,multistart_CCA,3,3,0.757240748602795,0.566254445649447,105.57525396347,-1
244,7,False,multistart_CCA,3,3,0.73079234714701,0.587426029655794,104.494292020798,-1
245,7,False,benders_CCA_without,3,3,0.672598097572541,0.399681649847854,1102.06601548195,10
246,7,False,benders_CCA_without,3,3,0.643909276629075,0.250215999702877,1101.51706838608,10
247,7,False,benders_CCA_without,3,3,0.596512017299903,0.588572469465017,1101.92850160599,10
248,7,False,benders_CCA_without,3,3,0.558899055170787,0.729440091527859,1101.55943751335,10
249,7,False,benders_CCA_without,3,3,0.635151354717535,0.367063316016569,1102.44889116287,10
250,7,False,benders_CCA_with,3,3,0.735109592013872,0.642001213597458,1102.10859036446,9
251,7,False,benders_CCA_with,3,3,0.775330529475928,0.50991681685695,1101.86959147453,9
252,7,False,benders_CCA_with,3,3,0.758619440672931,0.650530913537826,1102.64100623131,9
253,7,False,benders_CCA_with,3,3,0.75712052275528,0.5752191212686,1199.69518494606,10
254,7,False,benders_CCA_with,3,3,0.711548471679193,0.702424374450744,1102.25845718384,9
255,7,False,kernelsearch_CCA_without,3,3,0.727217834265953,0.432859442319968,892.900996685028,-1
256,7,False,kernelsearch_CCA_without,3,3,0.711484464504852,0.160323946849101,891.856762647629,-1
257,7,False,kernelsearch_CCA_without,3,3,0.592691719203478,0.523498102215803,907.68609547615,-1
258,7,False,kernelsearch_CCA_without,3,3,0.632118059101721,0.759251631456512,891.062849283218,-1
259,7,False,kernelsearch_CCA_without,3,3,0.729874637711967,0.582075074812345,897.640459299088,-1
260,7,False,kernelsearch_CCA_with,3,3,0.727229078407107,0.450939957468985,892.7825050354,-1
261,7,False,kernelsearch_CCA_with,3,3,0.711484464504852,0.160323946849101,892.048682451248,-1
262,7,False,kernelsearch_CCA_with,3,3,0.592691719203478,0.523498102215803,908.027516841888,-1
263,7,False,kernelsearch_CCA_with,3,3,0.632118059101721,0.759251631456512,891.04797077179,-1
264,7,False,kernelsearch_CCA_with,3,3,0.729874637711967,0.582075074812345,897.982171058655,-1
265,7,False,combined_CCA,3,3,0.748804879570702,0.5837814388239,3.3912513256073,-1
266,7,False,combined_CCA,3,3,0.783360766086289,0.319338196773817,2.54008984565735,-1
267,7,False,combined_CCA,3,3,0.75048092776766,0.638955285436894,18.2947449684143,-1
268,7,False,combined_CCA,3,3,0.710673869215355,0.714401625165054,1.7962429523468,-1
269,7,False,combined_CCA,3,3,0.728158469936546,0.664874967787476,8.09362769126892,-1
270,7,True,greedy_CCA,2,2,0.526286248524497,0.25082253194214,0.081537008285522,-1
271,7,True,greedy_CCA,2,2,0.512979426353538,0.240567095327627,0.074245691299438,-1
272,7,True,greedy_CCA,2,2,0.475368423357529,0.132372190759384,0.07174277305603,-1
273,7,True,greedy_CCA,2,2,0.484948786114079,0.136510144754005,0.072066307067871,-1
274,7,True,greedy_CCA,2,2,0.558982179869557,0.098373621179819,0.071609735488892,-1
275,7,True,CCA_without,2,2,0.52848291608307,0.264691997505741,5.28524899482727,-1
276,7,True,CCA_without,2,2,0.568473536546509,0.087159568669528,5.65051817893982,-1
277,7,True,CCA_without,2,2,0.482669914965308,0.093322465802695,7.27962636947632,-1
278,7,True,CCA_without,2,2,0.579758493514721,-0.016820191709495,5.86729741096497,-1
279,7,True,CCA_without,2,2,0.559459464759372,0.106184887225802,6.42650198936462,-1
280,7,True,CCA_with,2,2,0.52848464347624,0.26469196892667,4.94880771636963,1
281,7,True,CCA_with,2,2,0.568473536546509,0.087159568669528,5.92822480201721,1
282,7,True,CCA_with,2,2,0.482669914965308,0.093322465802695,7.08192729949951,1
283,7,True,CCA_with,2,2,0.579758493514721,-0.016820191709495,5.91127800941467,1
284,7,True,CCA_with,2,2,0.559459464759372,0.106184887225802,6.23550415039063,1
285,7,True,multistart_CCA,2,2,0.528484029204301,0.265062021237956,3.69300651550293,-1
286,7,True,multistart_CCA,2,2,0.568472199454678,0.087158493284773,3.96628069877625,-1
287,7,True,multistart_CCA,2,2,0.482665531117877,0.0937856507254,3.2794816493988,-1
288,7,True,multistart_CCA,2,2,0.579774405768913,-0.012744908952068,3.01416492462158,-1
289,7,True,multistart_CCA,2,2,0.559455819302812,0.106137094467457,3.66317367553711,-1
290,7,True,benders_CCA_without,2,2,0.519180892016394,0.331110047453997,62.337607383728,386
291,7,True,benders_CCA_without,2,2,0.568472620326644,0.087195609337716,140.902312517166,725
292,7,True,benders_CCA_without,2,2,0.463263237724094,-0.005770400714241,151.07741522789,714
293,7,True,benders_CCA_without,2,2,0.579777329089058,-0.012607747831662,71.3674247264862,429
294,7,True,benders_CCA_without,2,2,0.559368406166474,0.104051903033485,126.877693891525,659
295,7,True,benders_CCA_with,2,2,0.528483287458005,0.264466255312917,62.0769476890564,361
296,7,True,benders_CCA_with,2,2,0.568473536546509,0.087159568669528,157.449691534042,727
297,7,True,benders_CCA_with,2,2,0.482669914965308,0.093322465802695,155.288982868195,703
298,7,True,benders_CCA_with,2,2,0.579777329089058,-0.012607747831662,77.8826048374176,437
299,7,True,benders_CCA_with,2,2,0.559459464759372,0.106184887225802,121.029445886612,656
300,7,True,kernelsearch_CCA_without,2,2,0.516982330531328,-0.030551256566828,0.846145629882813,-1
301,7,True,kernelsearch_CCA_without,2,2,0.534883972905657,-0.116883653608523,1.01773285865784,-1
302,7,True,kernelsearch_CCA_without,2,2,0.428073093177786,0.458513567519538,1.15692138671875,-1
303,7,True,kernelsearch_CCA_without,2,2,0.579764034280129,-0.010401163798418,1.058349609375,-1
304,7,True,kernelsearch_CCA_without,2,2,0.496934354843445,-0.020552008415716,1.61568951606751,-1
305,7,True,kernelsearch_CCA_with,2,2,0.516982330531328,-0.030551256566828,0.839300155639648,-1
306,7,True,kernelsearch_CCA_with,2,2,0.534883972905657,-0.116883653608523,0.978269100189209,-1
307,7,True,kernelsearch_CCA_with,2,2,0.428073093177786,0.458513567519538,1.30126118659973,-1
308,7,True,kernelsearch_CCA_with,2,2,0.579764034280129,-0.010401163798418,1.23508262634277,-1
309,7,True,kernelsearch_CCA_with,2,2,0.496934354843445,-0.020552008415716,1.42276167869568,-1
310,7,True,combined_CCA,2,2,0.516982330531328,-0.030551256566828,0.353971242904663,-1
311,7,True,combined_CCA,2,2,0.535988783633812,0.218546630607604,0.266884326934814,-1
312,7,True,combined_CCA,2,2,0.427976626939488,0.456919633495274,0.343247890472412,-1
313,7,True,combined_CCA,2,2,0.54024050380984,0.067972173439215,0.329527854919434,-1
314,7,True,combined_CCA,2,2,0.477639137262174,-0.116702539220328,0.509845018386841,-1
315,7,True,greedy_CCA,3,3,0.597534864276875,0.374599487252663,0.15992259979248,-1
316,7,True,greedy_CCA,3,3,0.560284417083038,-0.012309332469881,0.141284942626953,-1
317,7,True,greedy_CCA,3,3,0.528762027856975,0.1171163281445,0.160484313964844,-1
318,7,True,greedy_CCA,3,3,0.533863716541366,0.077959580420353,0.159824848175049,-1
319,7,True,greedy_CCA,3,3,0.619995060615385,0.294948443204215,0.158854484558105,-1
320,7,True,CCA_without,3,3,0.637168828276981,-0.020610637956154,1000.22706723213,-1
321,7,True,CCA_without,3,3,0.589547993954698,0.112113763194954,1000.12096309662,-1
322,7,True,CCA_without,3,3,0.504429104170766,-0.053212399020358,1000.09187054634,-1
323,7,True,CCA_without,3,3,0.649305607417931,0.042841139872648,1000.15118527412,-1
324,7,True,CCA_without,3,3,0.59278700199382,0.110990678146648,1000.18566656113,-1
325,7,True,CCA_with,3,3,0.60145724325821,0.395586170432411,100.274431705475,3
326,7,True,CCA_with,3,3,0.584474078183405,-0.242141386091933,100.266884803772,3
327,7,True,CCA_with,3,3,0.518037879747089,0.156633105558453,100.448581695557,5
328,7,True,CCA_with,3,3,0.665472417923947,0.080267322476549,100.250426530838,3
329,7,True,CCA_with,3,3,0.62151953021635,0.306924251237376,100.461557149887,5
330,7,True,multistart_CCA,3,3,0.643150546001293,-0.008114449984054,37.5173237323761,-1
331,7,True,multistart_CCA,3,3,0.627683214470501,0.322422923568824,48.9846477508545,-1
332,7,True,multistart_CCA,3,3,0.518038539855695,0.156534750034667,93.4594860076905,-1
333,7,True,multistart_CCA,3,3,0.675278316214554,-0.077940264725771,25.742956161499,-1
334,7,True,multistart_CCA,3,3,0.621564700303152,0.310083194109282,68.3899302482605,-1
335,7,True,benders_CCA_without,3,3,0.64308882793028,-0.007997292343509,1001.83445620537,886
336,7,True,benders_CCA_without,3,3,0.604101842712139,0.015526904062803,1000.52013993263,296
337,7,True,benders_CCA_without,3,3,0.504920637148758,0.061203250041955,1011.6325879097,354
338,7,True,benders_CCA_without,3,3,0.658514924974469,0.056888376244723,1017.48615765572,460
339,7,True,benders_CCA_without,3,3,0.612822341025874,0.200197502313472,1016.29738593102,424
340,7,True,benders_CCA_with,3,3,0.615870655199205,-0.004805501443618,1001.05279707909,922
341,7,True,benders_CCA_with,3,3,0.59372942924807,0.045389162285771,1013.77599644661,422
342,7,True,benders_CCA_with,3,3,0.508951007533035,0.046562953763183,1007.2899980545,234
343,7,True,benders_CCA_with,3,3,0.674775288331281,-0.079496988989196,1001.86750912666,437
344,7,True,benders_CCA_with,3,3,0.62156373972576,0.309687784865255,1009.18890047073,324
345,7,True,kernelsearch_CCA_without,3,3,0.605640005323183,0.005509131150901,8.1285765171051,-1
346,7,True,kernelsearch_CCA_without,3,3,0.607326931994014,0.380835854970319,91.5280225276947,-1
347,7,True,kernelsearch_CCA_without,3,3,0.518041609822914,0.156382003217359,694.088715314865,-1
348,7,True,kernelsearch_CCA_without,3,3,0.654783707894017,0.090904309859997,204.295885562897,-1
349,7,True,kernelsearch_CCA_without,3,3,0.611421781837232,0.31536222617671,125.696885585785,-1
350,7,True,kernelsearch_CCA_with,3,3,0.605640005323183,0.005509131150901,8.03030204772949,-1
351,7,True,kernelsearch_CCA_with,3,3,0.607326931994014,0.380835854970319,90.9734363555908,-1
352,7,True,kernelsearch_CCA_with,3,3,0.518041609822914,0.156382003217359,698.045387506485,-1
353,7,True,kernelsearch_CCA_with,3,3,0.654783707894017,0.090904309859997,203.64844751358,-1
354,7,True,kernelsearch_CCA_with,3,3,0.611421781837232,0.31536222617671,128.773461341858,-1
355,7,True,combined_CCA,3,3,0.641235300325018,0.000167095164405,0.493704795837402,-1
356,7,True,combined_CCA,3,3,0.604491539661449,0.139985020923127,0.559970378875732,-1
357,7,True,combined_CCA,3,3,0.4792558812539,0.037126444062465,0.574689388275147,-1
358,7,True,combined_CCA,3,3,0.672200377154132,-0.043013732990058,0.610475778579712,-1
359,7,True,combined_CCA,3,3,0.525756150430275,-0.064195601090832,0.540781259536743,-1
360,8,False,greedy_CCA,3,3,0.840332293884092,0.816299864217686,0.300664663314819,-1
361,8,False,greedy_CCA,3,3,0.891468806721563,0.739361593810292,0.300420761108398,-1
362,8,False,greedy_CCA,3,3,0.857807757338619,0.78829038378182,0.343578100204468,-1
363,8,False,greedy_CCA,3,3,0.864068241258985,0.859126474757243,0.304430961608887,-1
364,8,False,greedy_CCA,3,3,0.860471204121412,0.812805307052921,0.302099704742432,-1
365,8,False,CCA_without,3,3,0.870227632265355,0.807270916740901,1000.06470012665,-1
366,8,False,CCA_without,3,3,0.890732380463523,0.692596274114087,1000.04100012779,-1
367,8,False,CCA_without,3,3,0.866448341410266,0.720971184838116,1000.05928754807,-1
368,8,False,CCA_without,3,3,0.862309823322785,0.823920704351268,1000.03243851662,-1
369,8,False,CCA_without,3,3,0.875472893976496,0.729348348121884,1000.07372975349,-1
370,8,False,CCA_with,3,3,0.884742441414674,0.805446718321277,101.821000814438,5
371,8,False,CCA_with,3,3,0.916246097826036,0.752273508574158,101.13067483902,3
372,8,False,CCA_with,3,3,0.892039974557644,0.748046054021104,102.228813886642,7
373,8,False,CCA_with,3,3,0.891105254203314,0.818747870909379,101.102202415466,3
374,8,False,CCA_with,3,3,0.882341462184792,0.704714624560872,101.176960229874,3
375,8,False,multistart_CCA,3,3,0.884742388588025,0.805290353851573,122.963599205017,-1
376,8,False,multistart_CCA,3,3,0.919331973300969,0.668784726499331,122.732824087143,-1
377,8,False,multistart_CCA,3,3,0.892076825156441,0.747890497389316,124.353939771652,-1
378,8,False,multistart_CCA,3,3,0.891575696825881,0.830249328776335,122.044368743896,-1
379,8,False,multistart_CCA,3,3,0.88281668831599,0.73901472180712,126.367866039276,-1
380,8,False,benders_CCA_without,3,3,0.826731392289155,0.7465640229881,1102.45017528534,10
381,8,False,benders_CCA_without,3,3,0.851145951080648,0.686702868413414,1101.52536725998,10
382,8,False,benders_CCA_without,3,3,0.814263552663948,0.779565845878433,1102.39733481407,10
383,8,False,benders_CCA_without,3,3,0.818000619404551,0.805904050647305,1102.80570149422,10
384,8,False,benders_CCA_without,3,3,0.80152785688174,0.816855968347053,1102.67190623283,10
385,8,False,benders_CCA_with,3,3,0.881252351108547,0.815085186237466,1119.96848893166,9
386,8,False,benders_CCA_with,3,3,0.915941752680651,0.750095135204136,1126.68355822563,9
387,8,False,benders_CCA_with,3,3,0.888891993846112,0.791194896425122,1102.76063609123,9
388,8,False,benders_CCA_with,3,3,0.891011480813009,0.829508567446127,1118.48906850815,9
389,8,False,benders_CCA_with,3,3,0.881307296595125,0.702202810119832,1137.86158370972,9
390,8,False,kernelsearch_CCA_without,3,3,0.825346838585159,0.785818769691244,1001.47242450714,-1
391,8,False,kernelsearch_CCA_without,3,3,0.858358543031389,0.675532326303843,1001.38148975372,-1
392,8,False,kernelsearch_CCA_without,3,3,0.858792215460643,0.824418294009447,1000.73349952698,-1
393,8,False,kernelsearch_CCA_without,3,3,0.843153553967227,0.813593891843123,1001.27135825157,-1
394,8,False,kernelsearch_CCA_without,3,3,0.831529104568811,0.84432335105118,1001.72103095055,-1
395,8,False,kernelsearch_CCA_with,3,3,0.825346838585159,0.785818769691244,1001.45040607452,-1
396,8,False,kernelsearch_CCA_with,3,3,0.858358543031389,0.675532326303843,1001.35641431808,-1
397,8,False,kernelsearch_CCA_with,3,3,0.858792215460643,0.824418294009447,1000.79872179031,-1
