,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
275,2,CCA_without,3,3,0.9607920907647808,0.9657759218462004,7.968540906906128,-1
276,2,CCA_without,3,3,0.9703474648203894,0.9460914958197671,10.212422132492064,-1
277,2,CCA_without,3,3,0.9608653001416207,0.9661429754687004,9.28834843635559,-1
278,2,CCA_without,3,3,0.9597539838080248,0.9687384815671336,6.710350751876831,-1
279,2,CCA_with,3,3,0.9708265094057996,0.945925421328781,14.744803190231323,1
280,2,CCA_with,3,3,0.9607920907647808,0.9657759218462004,8.179135799407959,1
281,2,CCA_with,3,3,0.9703474648203894,0.9460914958197671,10.307339906692505,1
282,2,CCA_with,3,3,0.9608653001416207,0.9661429754687004,9.138739347457886,5
283,2,CCA_with,3,3,0.9597539838080248,0.9687384815671336,6.752317667007446,1
284,2,multistart_CCA,3,3,0.970851317544572,0.9459000156780072,15.791654348373411,-1
285,2,multistart_CCA,3,3,0.9602967834030576,0.9652429781731846,23.009366989135746,-1
286,2,multistart_CCA,3,3,0.9702144079371372,0.9462183854936204,4.665761232376099,-1
287,2,multistart_CCA,3,3,0.958837578282832,0.9647391614397556,8.009619951248169,-1
288,2,multistart_CCA,3,3,0.9591940153719996,0.968522828672202,6.355974435806274,-1
289,2,benders_CCA_without,3,3,0.9706078796496171,0.9462193433614086,39.45734262466431,74
290,2,benders_CCA_without,3,3,0.9606954748625102,0.9656982761946508,16.723423719406128,54
291,2,benders_CCA_without,3,3,0.9703611526211342,0.9457740170478438,23.316272735595703,46
292,2,benders_CCA_without,3,3,0.9607455975834136,0.9668816952169532,17.83909821510315,55
293,2,benders_CCA_without,3,3,0.9596563210508552,0.9688017329903142,14.872989892959597,55
294,2,benders_CCA_with,3,3,0.9708265094057996,0.945925421328781,1001.3865413665771,1130
295,2,benders_CCA_with,3,3,0.9607920907647808,0.9657759218462004,1000.2243387699128,2111
296,2,benders_CCA_with,3,3,0.9703474648203894,0.9460914958197671,42.7654242515564,78
297,2,benders_CCA_with,3,3,0.9608653001416207,0.9661429754687004,1000.8680155277252,2209
298,2,benders_CCA_with,3,3,0.9597539838080248,0.9687384815671336,1001.2947328090668,1482
299,2,kernelsearch_CCA_without,3,3,0.968778100893389,0.9425973098448484,3.2022478580474854,-1
300,2,kernelsearch_CCA_without,3,3,0.9585637341174312,0.9635844135473112,2.7736597061157227,-1
301,2,kernelsearch_CCA_without,3,3,0.9682371815168788,0.942171217144966,2.649423599243164,-1
302,2,kernelsearch_CCA_without,3,3,0.9580843332043332,0.9643239692433818,2.0430617332458496,-1
303,2,kernelsearch_CCA_without,3,3,0.9577035616841028,0.9661464385926248,1.6248033046722412,-1
304,2,kernelsearch_CCA_with,3,3,0.968778100893389,0.9425973098448484,3.2190101146698,-1
305,2,kernelsearch_CCA_with,3,3,0.9585637341174312,0.9635844135473112,2.918433904647827,-1
306,2,kernelsearch_CCA_with,3,3,0.9682371815168788,0.942171217144966,2.7026126384735107,-1
307,2,kernelsearch_CCA_with,3,3,0.9580843332043332,0.9643239692433818,2.0875282287597656,-1
308,2,kernelsearch_CCA_with,3,3,0.9577035616841028,0.9661464385926248,1.6195049285888672,-1
309,2,combined_CCA,3,3,0.966230022424846,0.9457534263314064,0.2487945556640625,-1
310,2,combined_CCA,3,3,0.955961354349112,0.959777515674045,0.2459208965301513,-1
311,2,combined_CCA,3,3,0.965795798143338,0.9457126076009535,0.2661807537078857,-1
